PERIODO,CO2 BEV,VEHICULOS BEV,CO2 BEV mitjana,CO2 Combustión,VEHICULOS Combustión,CO2 Combustión mitjana,CO2 GLP,VEHICULOS GLP,CO2 GLP mitjana,CO2 GNC,VEHICULOS GNC,CO2 GNC mitjana,CO2 HEV,VEHICULOS HEV,CO2 HEV mitjana,CO2 PHEV,VEHICULOS PHEV,CO2 PHEV mitjana,CO2 REEV,VEHICULOS REEV,CO2 REEV mitjana,CO2 GNL,VEHICULOS GNL,CO2 GNL mitjana,CO2 Hidrógeno,VEHICULOS Hidrógeno,CO2 Hidrógeno mitjana
2018-01,113.0,491,0.23014256619144602,13731927.959737198,111889,122.72813198560358,84905.0215782087,706,120.26207022409164,31359.49873294347,310,101.15967333207571,566169.3635646157,5943,95.26659322978558,17469.0,374,46.70855614973262,407.93,21,19.425238095238097,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,27.0,444,0.060810810810810814,14834699.521497207,121677,121.91868242557925,94072.0,766,122.80939947780679,37449.38224785535,381,98.29234185788805,507340.1417797482,5337,95.0609221996905,15247.0,350,43.56285714285714,528.2380952380952,26,20.316849816849814,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,40.0,591,0.0676818950930626,16958501.908744227,140024,121.11139453768088,112274.0,921,121.90445168295331,44444.92312986579,455,97.68114973596877,517417.0,5404,95.74703923019985,14508.0,315,46.05714285714286,505.44117647058823,25,20.21764705882353,123.0,1.0,123.0,0.0,0.0,0.0
2018-04,0.0,577,0.0,15483774.10128968,126759,122.15127999818301,183599.80803173082,1494,122.89143777224285,43089.36897934878,434,99.28426032108014,575157.0972222222,6074,94.6916524896645,12286.0,273,45.00366300366301,592.7181818181818,26,22.79685314685315,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,63.0,398,0.15829145728643215,17953710.18182947,146532,122.52415978645942,203604.39426834558,1673,121.7001758926154,50306.33281583639,514,97.87224283236651,654805.0,6912,94.73451967592592,19274.744600959264,471,40.92302463048676,544.1818181818181,28,19.435064935064933,468.0,3.0,156.0,0.0,0.0,0.0
2018-06,38.0,450,0.08444444444444445,18561751.24632325,151989,122.12562255375883,238368.44711510933,1910,124.80023409168028,66237.66934507851,687,96.41582146299638,765807.0,8045,95.19042883778745,38158.98459504741,922,41.38718502716639,920.5769063180828,48,19.17868554829339,114.0,1.0,114.0,0.0,0.0,0.0
2018-07,0.0,461,0.0,17303394.816401336,139492,124.0457862558522,294754.0,2206,133.61468721668177,66888.15521998066,677,98.80082011813982,722112.0,7519,96.03830296581992,22869.23856628284,482,47.44655304208058,563.1904761904761,27,20.85890652557319,119.0,1.0,119.0,0.0,0.0,0.0
2018-08,106.0,370,0.2864864864864865,14374305.42044712,114711,125.30886680830191,286490.00000000006,2150,133.2511627906977,42219.0,415,101.73253012048193,592084.7610696814,6143,96.38364985669565,22420.859755252328,422,53.129999420029215,719.998299319728,39,18.461494854351997,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,301.0,602,0.5,9710101.100259328,76933,126.21503256417049,140704.91304646296,1064,132.24145963013436,19781.0,172,115.00581395348837,534463.8004115829,5464,97.8154832378446,18809.448169478765,383,49.11083072970957,581.3611111111111,31,18.75358422939068,381.0,3.0,127.0,0.0,0.0,0.0
2018-10,132.0,717,0.18410041841004185,12452509.889155421,97468,127.75998162633296,283460.0,2184,129.78937728937728,22796.175905823322,209,109.07261198958527,666223.1605003721,6801,97.95958836941216,21236.979439672687,441,48.15641596297662,1158.5598639455782,50,23.171197278911563,315.0,2.0,157.5,0.0,0.0,0.0
